time/s,RMS_H,RMS_AZ,error_H,error_AZ,speed_H,speed_AZ,actual_H,actual_AZ,target_H,target_AZ
717824.000,nan,0.00,0.0,-0.2,0,1794,0.0,-74875.4,0.0,53981.0
718080.000,nan,0.00,0.0,-0.1,0,1794,0.0,-74522.8,0.0,53981.0
718080.000,nan,0.00,0.0,0.0,0,1794,0.0,-74169.4,0.0,53981.0
718080.000,nan,0.00,0.0,0.1,0,1794,0.0,-73815.3,0.0,53981.0
718080.000,nan,0.00,0.0,0.3,0,1794,0.0,-73460.3,0.0,53981.0
718080.000,nan,0.00,0.0,0.4,0,1794,0.0,-73104.5,0.0,53981.0
718336.000,nan,0.00,0.0,0.5,0,1794,0.0,-72747.8,0.0,53981.0
718336.000,nan,0.00,0.0,0.4,0,1794,0.0,-72390.1,0.0,53981.0
718336.000,nan,0.00,0.0,0.3,0,1794,0.0,-72031.7,0.0,53981.0
718336.000,nan,0.00,0.0,0.1,0,1794,0.0,-71672.3,0.0,53981.0
718336.000,nan,0.00,0.0,-0.1,0,1794,0.0,-71312.1,0.0,53981.0
718592.000,nan,0.00,0.0,-0.2,0,1794,0.0,-70951.2,0.0,53981.0
718592.000,nan,0.00,0.0,-0.3,0,1794,0.0,-70589.6,0.0,53981.0
718592.000,nan,0.00,0.0,-0.2,0,1794,0.0,-70227.3,0.0,53981.0
718592.000,nan,0.00,0.0,-0.2,0,1794,0.0,-69864.2,0.0,53981.0
718592.000,nan,0.00,0.0,-0.3,0,1794,0.0,-69500.2,0.0,53981.0
718848.000,nan,0.00,0.0,-0.4,0,1794,0.0,-69135.5,0.0,53981.0
718848.000,0.01,0.00,0.0,-0.3,0,1794,0.0,-68770.2,0.0,53981.0
718848.000,0.01,0.00,0.0,0.0,0,1794,0.0,-68404.4,0.0,53981.0
718848.000,0.03,0.00,0.0,0.3,0,1794,0.0,-68037.8,0.0,53981.0
718848.000,0.04,0.00,0.0,0.3,0,1794,0.0,-67670.1,0.0,53981.0
